epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,12189.5,1.12237,0.95812,1.57854,0.81316,0.82539,0.87842,0.46732,1.67152,0.97209,2.45196,0.0005942,0.0005942,0.0005942
73,12323.4,1.09855,0.93348,1.60297,0.84957,0.84113,0.87522,0.4804,1.63387,0.91605,2.43523,0.0005744,0.0005744,0.0005744
74,12457.4,1.09111,0.92342,1.56877,0.86866,0.84706,0.88218,0.47234,1.70491,0.9145,2.53913,0.0005546,0.0005546,0.0005546
75,12591.6,1.0855,0.87699,1.57548,0.87033,0.85142,0.86643,0.46144,1.75242,0.90352,2.59865,0.0005348,0.0005348,0.0005348
76,12725.9,1.1371,0.88709,1.60342,0.82031,0.8433,0.86332,0.45722,1.73215,0.92601,2.57734,0.000515,0.000515,0.000515
77,12859.7,1.10471,0.90604,1.60449,0.85835,0.82143,0.86267,0.46574,1.6823,0.8981,2.55481,0.0004952,0.0004952,0.0004952
78,12994.3,1.09841,0.93705,1.57045,0.84271,0.83139,0.86932,0.48228,1.60594,0.90567,2.47066,0.0004754,0.0004754,0.0004754
79,13127.7,1.10032,0.92444,1.55602,0.84353,0.81897,0.85423,0.46208,1.68479,0.91646,2.53248,0.0004556,0.0004556,0.0004556
80,13259.4,1.07226,0.91175,1.55852,0.86216,0.83961,0.87379,0.45184,1.69466,0.91563,2.52293,0.0004358,0.0004358,0.0004358
81,13379.7,1.10907,0.92218,1.58721,0.86131,0.83621,0.87063,0.47916,1.6209,0.86417,2.45281,0.000416,0.000416,0.000416
82,13501.2,1.06716,0.8917,1.56696,0.8662,0.84483,0.88344,0.48861,1.6281,0.86146,2.47125,0.0003962,0.0003962,0.0003962
83,13622.8,1.09219,0.914,1.57974,0.86243,0.84483,0.8784,0.48383,1.6493,0.85138,2.50791,0.0003764,0.0003764,0.0003764
